21,3
20430,7935,0
00,00,00,01
True,00,01,00,00
20
False,1,1
True,0,3000,6,1
14:22:12,0.000,Hz,0.000
14:22:13,0.000,Hz,0.000
14:22:14,0.000,Hz,0.000
14:22:15,0.000,Hz,0.000
14:22:16,0.000,Hz,0.000
14:22:17,0.000,Hz,0.000
14:22:18,0.000,Hz,0.000
14:22:19,0.000,Hz,0.000
14:22:20,+OL,Hz,0.00
14:22:21,25.45,Hz,25.45
14:22:22,25.84,Hz,25.84
14:22:23,26.23,Hz,26.23
14:22:24,25.17,Hz,25.17
14:22:25,24.33,Hz,24.33
14:22:26,24.47,Hz,24.47
14:22:27,25.02,Hz,25.02
14:22:28,25.30,Hz,25.30
14:22:29,24.21,Hz,24.21
14:22:30,24.05,Hz,24.05
14:22:31,0.000,Hz,0.000
